 	110
!	01001010
'	01001011
,	0100000
.	101001
C	01001100
F	0100001
G	01001101
H	0100010
I	001001
J	01001110
M	01001111
R	01101000
T	0100011
U	01101001
X	01101010
a	0111
b	01101011
c	111011
d	011011
e	000
f	111000
g	01100
h	10011
i	0011
k	111001
l	10101
m	00101
n	11111
o	1011
p	001000
r	1000
s	11110
t	0101
u	10010
v	0100100
w	101000
y	111010
